quote,title,description,rating
希望让人自由。,肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台),"
                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...",9.6
怪蜀黍和小萝莉不得不说的故事。,这个杀手不太冷 / Léon / 杀手莱昂  /  终极追杀令(台),"
                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔丽·波特曼 ...",9.4
一部美国近现代史。,阿甘正传 / Forrest Gump / 福雷斯特·冈普,"
                            导演: Robert Zemeckis   主演: Tom Hanks / Robin Wright Penn / Gary Sinise",9.4
风华绝代。,霸王别姬 / 再见，我的妾  /  Farewell My Concubine,"
                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...",9.4
最美的谎言。,美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful,"
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...",9.5
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(台)  /  一九零零的传奇(港),"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...",9.2
拯救一个人，就是拯救整个世界。,辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...",9.4
最好的宫崎骏，最好的久石让。 ,千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  Spirited Away,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...",9.2
小瓦力，大人生。,机器人总动员 / WALL·E / 瓦力(台)  /  太空奇兵·威E(港),"
                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...",9.3
失去的才是永恒的。 ,泰坦尼克号 / Titanic / 铁达尼号(港 / 台) ,"
                            导演: James Cameron   主演: Leonardo DiCaprio / Kate Winslet / Billy Zane",9.1
